Taxon	M.02.c.S52	M.1.b.S33	M.min.b.S16	M.2.c.S35	M.01.a.S22	M.02.b.S59	M.01.c.S3	M.005.b.S39	S.02.a.S32	M.05.c.S36	M.005.c.S47	M.min.a.S30	S.005.c.S15	M.min.c.S48	M.05.a.S44	M.2.a.S38	M.005.a.S53	S.005.a.S41	S.01.b.S9	S.01.c.S25	M.1.c.S31	M.1.a.S40	M.02.a.S29	M.05.b.S19	S.01.a.S45	M.01.b.S60	M.2.b.S50	S.005.b.S5	S.02.b.S61	S.2.b.S20	S.05.c.S54	S.min.a.S21	S.1.b.S49	S.min.b.S4	S.1.a.S7	S.min.c.S10	S.2.c.S55	S.05.b.S24	S.05.a.S51	S.02.c.S2	S.1.c.S14	S.2.a.S18
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	796	1462	1938	1543	1532	1285	1644	1680	350	1680	1568	2051	350	2399	1840	1486	1631	332	377	380	1794	2093	1707	2318	382	1563	1830	425	337	343	327	399	483	443	431	546	693	384	515	368	476	467
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	771	644	674	685	670	1310	689	544	591	941	1007	470	661	590	832	751	989	514	658	750	722	798	1618	812	895	1666	1081	715	807	250	283	762	332	916	429	748	240	431	420	1062	384	187
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae	455	777	682	764	679	722	726	665	2322	815	676	701	2321	698	1035	880	832	2137	2990	3006	1194	943	1090	1156	2984	1030	1213	3134	2821	989	2010	2946	1132	3015	1347	2981	1091	2483	2421	3643	1529	2536
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Ellin517; s__uncultured_bacterium	439	477	452	352	903	778	1119	975	0	728	824	884	0	908	978	319	823	0	0	0	709	583	1001	780	0	786	366	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium	410	283	220	248	347	467	376	364	560	303	470	228	549	250	461	282	491	463	559	475	494	400	649	430	594	481	403	610	684	664	576	277	934	321	673	321	708	795	770	730	579	550
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	277	284	253	327	292	533	286	237	146	258	432	226	76	236	304	371	502	127	138	139	365	301	603	292	154	614	571	118	140	133	128	66	72	82	175	71	265	189	108	279	126	74
d__Bacteria; p__Firmicutes; c__Bacilli; o__Alicyclobacillales; f__Alicyclobacillaceae; g__Tumebacillus	254	220	260	126	158	414	198	171	0	243	351	235	0	330	242	116	400	0	0	0	167	0	473	135	0	455	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae	237	46	3	24	24	30	19	46	0	61	90	1	0	10	43	22	56	0	0	0	27	50	104	95	0	26	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96	231	231	363	357	362	254	277	347	357	262	278	419	443	341	277	420	335	401	431	470	292	312	277	283	507	365	525	597	436	511	483	448	514	419	411	421	594	466	496	441	505	314
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales	228	155	197	66	219	264	259	167	0	212	237	251	0	242	315	112	232	2	0	0	244	265	322	246	0	314	130	3	0	2	0	1	0	1	2	0	1	0	0	0	1	0
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella; s__actinobacterium_WWH12	214	619	378	691	368	337	346	346	392	514	439	377	345	372	635	622	521	282	359	382	655	777	435	640	440	470	754	480	377	639	330	310	464	357	566	363	783	556	515	462	624	431
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae	210	355	316	249	326	316	309	422	0	337	350	439	0	488	391	247	347	0	0	0	268	337	455	393	0	490	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae	203	503	302	519	370	429	390	237	0	466	377	215	0	278	620	671	424	0	0	0	761	477	745	595	0	800	740	0	10	0	0	0	1	0	0	1	20	0	2	0	0	4
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae	197	263	329	268	325	333	349	224	0	423	382	316	0	355	373	316	332	0	0	0	382	447	506	408	0	535	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus_Nitrocosmicus	190	252	197	218	317	345	423	166	192	245	384	222	219	228	303	342	352	284	327	298	330	274	474	324	288	527	337	211	274	178	202	180	221	214	209	154	272	248	159	407	235	164
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__uncultured	173	45	247	45	316	284	331	412	0	164	309	370	0	376	215	83	419	2	0	0	125	117	301	170	2	281	55	7	5	0	0	2	2	1	0	0	0	0	0	0	0	2
d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_13	172	276	184	237	165	377	186	132	194	205	311	107	123	158	266	285	297	160	206	205	273	232	475	240	198	555	281	147	225	180	123	102	203	157	283	118	143	163	189	402	247	148
d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured	165	174	199	161	256	263	197	230	0	232	267	155	0	127	183	150	299	0	0	0	242	247	234	245	0	372	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	165	194	303	194	170	370	187	161	130	183	256	255	121	265	238	243	404	92	161	125	248	275	486	384	57	350	463	177	210	90	64	127	297	129	149	141	84	147	104	242	285	51
