"M_056_a_AOB_S14_L001_trim_filt_F.fastq.gz"	"M_056_b_AOB_S62_L001_trim_filt_F.fastq.gz"	"M_056_c_AOB_S55_L001_trim_filt_F.fastq.gz"	"M_18_a_AOB_S58_L001_trim_filt_F.fastq.gz"	"M_18_b_AOB_S42_L001_trim_filt_F.fastq.gz"	"M_18_c_AOB_S47_L001_trim_filt_F.fastq.gz"	"M_25_a_AOB_S8_L001_trim_filt_F.fastq.gz"	"M_25_b_AOB_S24_L001_trim_filt_F.fastq.gz"	"M_25_c_AOB_S4_L001_trim_filt_F.fastq.gz"	"M_5_a_AOB_S52_L001_trim_filt_F.fastq.gz"	"M_5_b_AOB_S15_L001_trim_filt_F.fastq.gz"	"M_5_c_AOB_S10_L001_trim_filt_F.fastq.gz"	"M1_a_AOB_S34_L001_trim_filt_F.fastq.gz"	"M1_b_AOB_S5_L001_trim_filt_F.fastq.gz"	"M1_c_AOB_S17_L001_trim_filt_F.fastq.gz"	"M2_a_AOB_S46_L001_trim_filt_F.fastq.gz"	"M2_b_AOB_S68_L001_trim_filt_F.fastq.gz"	"M2_c_AOB_S32_L001_trim_filt_F.fastq.gz"	"Mmin_a_AOB_S11_L001_trim_filt_F.fastq.gz"	"Mmin_b_AOB_S39_L001_trim_filt_F.fastq.gz"	"Mmin_c_AOB_S1_L001_trim_filt_F.fastq.gz"	"S_056_a_AOB_S35_L001_trim_filt_F.fastq.gz"	"S_056_b_AOB_S20_L001_trim_filt_F.fastq.gz"	"S_056_c_AOB_S19_L001_trim_filt_F.fastq.gz"	"S_18_a_AOB_S3_L001_trim_filt_F.fastq.gz"	"S_18_b_AOB_S25_L001_trim_filt_F.fastq.gz"	"S_18_c_AOB_S69_L001_trim_filt_F.fastq.gz"	"S_25_a_AOB_S27_L001_trim_filt_F.fastq.gz"	"S_25_b_AOB_S80_L001_trim_filt_F.fastq.gz"	"S_25_c_AOB_S79_L001_trim_filt_F.fastq.gz"	"S_5_a_AOB_S22_L001_trim_filt_F.fastq.gz"	"S_5_b_AOB_S13_L001_trim_filt_F.fastq.gz"	"S_5_c_AOB_S56_L001_trim_filt_F.fastq.gz"	"S1_a_AOB_S67_L001_trim_filt_F.fastq.gz"	"S1_b_AOB_S45_L001_trim_filt_F.fastq.gz"	"S1_c_AOB_S78_L001_trim_filt_F.fastq.gz"	"S2_a_AOB_S48_L001_trim_filt_F.fastq.gz"	"S2_b_AOB_S44_L001_trim_filt_F.fastq.gz"	"S2_c_AOB_S30_L001_trim_filt_F.fastq.gz"	"Smin_a_AOB_S41_L001_trim_filt_F.fastq.gz"	"Smin_b_AOB_S21_L001_trim_filt_F.fastq.gz"	"Smin_c_AOB_S61_L001_trim_filt_F.fastq.gz"
"ASV1"	301	0	299	282	624	233	79	0	271	250	0	484	177	152	57	843	290	239	17	439	0	11750	12649	5459	11644	9264	10695	7835	9229	7622	11667	9500	9155	10090	15999	14187	15120	12842	6553	8090	7801	10336
"ASV2"	658	210	230	115	0	0	289	68	0	212	188	247	276	81	181	686	477	119	0	465	0	9191	8250	7103	8551	7577	10659	4464	6434	7071	6997	7481	6173	7133	12486	6922	14531	6513	3686	6245	5506	9118
"ASV3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6953	10235	10074	3667	5449	9330	4438	6427	5826	7315	7261	4740	5989	5881	4105	9450	5867	3080	8480	5876	14598
"ASV4"	6734	9281	6874	6446	7285	5676	6771	7173	11562	5223	8461	8263	5384	3491	5690	5359	3899	4191	9233	9799	6595	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0
"ASV5"	304	0	167	0	0	590	0	232	407	504	814	975	1848	371	884	6421	3341	2421	761	91	0	4877	4805	4211	4525	4775	6890	3384	4067	3013	4245	3628	4150	4703	7474	3996	6114	7037	2546	3447	5168	4356
"ASV6"	4387	3697	3537	4093	3951	3299	5336	5088	8304	4509	9008	3898	4466	2978	5271	5301	6579	5708	2880	3334	2001	154	68	71	125	0	149	50	110	119	20	0	68	0	69	98	216	47	206	0	172	67
"ASV7"	4593	4677	3858	3470	4107	2907	3953	4602	7130	4386	5031	5723	5705	1857	2683	1693	2340	3327	4897	7083	2919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV8"	336	176	0	112	0	84	0	0	97	0	115	407	177	222	0	320	320	398	252	87	71	4047	4195	2824	2379	3150	4139	1973	4211	2867	3403	2533	2564	3852	4820	2970	9571	3884	1993	2502	3347	4670
"ASV9"	0	0	0	470	0	0	0	0	0	0	0	292	0	0	91	0	0	558	0	0	0	4462	5673	4001	1740	3251	3534	2876	3631	2027	4897	3821	2854	2714	4931	2929	3729	7062	2400	1913	2597	4649
"ASV10"	5004	3705	3074	3188	4077	4519	2513	4216	6100	3484	2458	3136	6304	1847	3221	3581	2314	1844	3602	2794	2415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2660	3411	3103	3431	3518	3283	3051	3698	3559	2662	2448	1687	2059	4511	1979	3455	5359	1488	4666	1647	5961
"ASV12"	3188	1052	2584	2816	2840	4903	3445	4145	3769	2283	3774	1394	4832	4689	1442	2600	1780	1748	4355	3098	2267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV13"	4534	2345	1460	3034	2299	1714	1056	2185	2616	2715	3210	2346	3880	3199	4169	4820	4026	3844	1619	1592	1267	103	99	73	0	0	0	78	0	221	150	101	131	225	134	67	192	447	370	99	353	0
"ASV14"	3479	3310	945	2360	3524	1503	2934	4605	4301	2486	3603	2617	3112	1555	2104	1958	2396	1701	2351	2854	1932	0	34	0	0	0	0	20	8	0	0	0	0	0	0	0	0	6	0	10	0	0
"ASV15"	2647	1489	2157	2315	2853	2147	3576	4247	2546	2273	2517	2552	1849	1469	1758	2286	1445	2471	2924	4260	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV16"	1659	947	1104	2284	1205	1329	2762	3313	2004	1630	1936	1487	1775	1384	3649	3383	4326	2010	1191	1246	861	69	85	0	0	17	0	0	0	0	0	41	0	0	78	57	37	58	0	65	0	0
"ASV17"	1382	1680	528	454	595	548	1235	1436	1985	451	1903	530	1207	695	1798	1272	1592	1242	308	1132	327	573	722	1088	499	535	1290	271	384	201	614	322	596	624	1065	828	635	1333	1258	1052	991	1614
"ASV18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1997	1199	1899	727	2064	1084	1136	2169	708	1346	1736	1031	1096	1009	1001	2684	1830	890	3419	1480	2825
"ASV19"	1989	1495	1108	928	1772	877	1017	1993	1429	747	1448	1162	1890	1227	2046	2161	3108	2157	1209	1192	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV20"	65	0	0	47	71	0	93	0	0	0	204	107	0	0	0	0	0	0	0	0	0	1824	1686	1089	1309	1865	1425	1067	1510	1766	1503	1551	1228	1146	977	1586	854	646	774	1881	1682	2156
"ASV21"	0	0	0	0	0	0	70	0	0	0	68	0	0	0	0	0	39	0	0	0	0	1246	1155	1709	1956	1263	1460	948	3021	1244	1469	1367	670	892	2132	1172	196	612	317	2640	1920	2464
"ASV22"	1634	2691	724	677	1780	819	1334	2682	2127	1133	1220	1180	1633	917	1647	1231	873	750	959	2254	992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV23"	1055	2090	1435	1613	1568	1309	1251	2099	4030	478	980	660	592	400	564	392	236	489	2439	2977	1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV24"	686	1263	672	1682	1565	1235	2034	1517	1494	1604	2351	673	1385	717	942	958	1111	1238	1656	1058	607	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0
"ASV25"	1457	970	855	1176	799	1296	1114	1801	1365	1068	1306	1330	1399	1629	543	1210	1316	2300	765	869	712	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	497	0	0	0	0	0
"ASV26"	1671	450	658	659	275	186	591	399	1209	1068	348	281	620	379	191	566	68	142	302	470	177	303	858	1383	708	383	598	506	918	610	453	615	680	561	1211	406	318	450	549	1095	1061	934
"ASV27"	481	1281	1361	725	676	1410	2926	1893	1637	609	972	1305	756	310	2291	122	182	588	566	1700	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV28"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897	454	190	510	677	1079	1038	1675	615	970	1779	585	657	858	879	1628	949	3837	294	606	1352
"ASV29"	1154	1546	846	745	1404	306	880	554	2255	561	1149	448	621	784	1030	888	814	1535	886	1147	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0
"ASV30"	349	852	570	614	1068	1207	1308	1462	813	1032	484	1525	1572	331	1853	724	571	1074	639	358	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	86	0	81	0
"ASV31"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	679	1008	774	1089	673	1537	593	753	1084	520	700	818	855	1684	915	2205	579	295	344	522	851
"ASV32"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	1095	557	869	897	937	655	1688	702	876	764	621	792	1422	593	700	359	374	482	663	2112
"ASV33"	41	96	0	0	137	174	245	91	0	0	0	34	180	0	200	0	0	0	0	0	0	454	699	1108	534	283	825	199	654	718	692	1433	391	712	921	739	870	1010	1124	1279	897	770
"ASV34"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1392	741	516	868	336	1135	276	850	567	447	285	491	679	862	184	458	714	1667	3348	983	318
"ASV35"	267	575	578	765	911	267	838	1718	818	510	442	1283	469	541	772	826	1042	668	42	1925	828	0	0	0	31	0	0	8	51	0	0	0	0	0	77	19	80	0	704	0	0	0
"ASV36"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1086	1719	1157	1473	399	787	317	432	999	664	805	173	632	1179	334	1260	278	65	785	736	1720
"ASV37"	284	457	431	1454	1074	894	317	2040	713	949	960	915	1152	519	741	922	881	534	241	591	848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV38"	0	24	80	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	721	609	794	932	696	746	504	437	939	1206	689	755	525	638	354	289	0	0	954	2102	1261
"ASV39"	187	202	372	636	209	698	996	432	835	263	142	262	657	219	1138	444	833	1961	918	645	338	92	47	71	69	186	128	34	40	120	103	173	292	180	387	73	207	203	298	74	123	0
"ASV40"	661	1197	885	486	738	500	1384	1102	2309	241	666	166	569	569	454	261	130	127	850	744	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV41"	1581	986	532	622	555	849	471	469	621	359	1722	504	879	692	1302	244	522	295	528	1016	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV42"	0	35	0	80	0	180	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	489	1328	998	662	341	409	377	662	389	591	662	587	380	944	695	511	307	640	1436	953	757
"ASV43"	612	0	0	0	61	0	0	0	584	0	246	128	72	0	0	0	0	77	0	156	156	1639	416	833	623	359	510	682	575	639	795	762	670	0	449	347	171	199	241	758	967	739
"ASV44"	235	0	0	0	204	317	0	0	0	0	0	143	103	0	56	186	0	0	0	82	0	570	405	521	533	641	371	700	610	278	570	564	380	365	458	899	969	854	922	822	1210	469
