"input" "filtered" "denoisedF" "denoisedR" "merged" "nonchim"
"M_056_a_AOB_S14_L001_trim" 315677 91498 91225 91184 86615 74938
"M_056_b_AOB_S62_L001_trim" 234932 87861 87565 87498 83599 71832
"M_056_c_AOB_S55_L001_trim" 165826 63900 63660 63548 60734 54636
"M_18_a_AOB_S58_L001_trim" 209380 76649 76288 76388 71783 60303
"M_18_b_AOB_S42_L001_trim" 190182 78579 78272 78315 74418 64150
"M_18_c_AOB_S47_L001_trim" 192270 71958 71579 71543 67790 57524
"M_25_a_AOB_S8_L001_trim" 207027 81803 81624 81443 78054 71585
"M_25_b_AOB_S24_L001_trim" 243075 99337 98808 99012 94687 81557
"M_25_c_AOB_S4_L001_trim" 313837 124759 124330 124269 118825 103150
"M_5_a_AOB_S52_L001_trim" 199301 71629 71302 71221 67738 58764
"M_5_b_AOB_S15_L001_trim" 278731 95959 95668 95615 92349 81328
"M_5_c_AOB_S10_L001_trim" 207721 71452 71193 71163 68517 61545
"M1_a_AOB_S34_L001_trim" 258924 97850 97441 97416 92810 78725
"M1_b_AOB_S5_L001_trim" 178129 59501 59217 59188 55998 50210
"M1_c_AOB_S17_L001_trim" 232992 91150 90810 90740 86521 75370
"M2_a_AOB_S46_L001_trim" 238722 93507 93062 93074 88829 78878
"M2_b_AOB_S68_L001_trim" 229154 85971 85626 85694 82452 74208
"M2_c_AOB_S32_L001_trim" 236932 91165 90861 90870 87009 78311
"Mmin_a_AOB_S11_L001_trim" 200807 79476 79217 79145 75726 65895
"Mmin_b_AOB_S39_L001_trim" 255335 98809 98443 98292 93148 75289
"Mmin_c_AOB_S1_L001_trim" 158284 55730 55506 55430 52146 44089
"S_056_a_AOB_S35_L001_trim" 271866 123455 122355 122971 112516 83523
"S_056_b_AOB_S20_L001_trim" 294429 131318 130567 130761 121422 87882
"S_056_c_AOB_S19_L001_trim" 239689 102084 101114 101673 93376 69225
"S_18_a_AOB_S3_L001_trim" 254114 100776 99973 100400 91814 67506
"S_18_b_AOB_S25_L001_trim" 232223 95675 95079 95357 87446 66475
"S_18_c_AOB_S69_L001_trim" 269806 121403 120901 120945 111278 83064
"S_25_a_AOB_S27_L001_trim" 200028 81325 80832 80902 72222 50453
"S_25_b_AOB_S80_L001_trim" 252298 111940 111159 111413 100568 70019
"S_25_c_AOB_S79_L001_trim" 219713 90124 89715 89501 81254 62193
"S_5_a_AOB_S22_L001_trim" 258972 111141 110438 110679 100806 75593
"S_5_b_AOB_S13_L001_trim" 225843 99145 98700 98704 90719 71051
"S_5_c_AOB_S56_L001_trim" 228596 97195 96437 96650 86766 60002
"S1_a_AOB_S67_L001_trim" 227022 96761 96235 96387 88081 67642
"S1_b_AOB_S45_L001_trim" 327097 134394 133690 133905 124118 97187
"S1_c_AOB_S78_L001_trim" 249184 104298 103654 103782 94389 66152
"S2_a_AOB_S48_L001_trim" 316363 140923 140326 140332 130817 98995
"S2_b_AOB_S44_L001_trim" 273846 115709 115063 115105 106202 81270
"S2_c_AOB_S30_L001_trim" 219108 96722 95918 96149 86443 59960
"Smin_a_AOB_S41_L001_trim" 211010 94860 94364 94486 87989 74856
"Smin_b_AOB_S21_L001_trim" 202210 86768 86295 86314 80357 67319
"Smin_c_AOB_S61_L001_trim" 291843 122053 121542 121653 115273 99207
