OTU ID	MRC1	MRC2	MRC3	MRC4	MRC5	MRC6	MRC7	MRC_neg	SVERC1	SVERC2	SVERC3	SVERC4	SVERC5	SVERC6	SVERC7	SVERC_neg
JX505235.1.1401	22	13	17	26	6	10	4	0	0	0	0	1	0	0	0	0
FOBB01000022.85.1613	342	4	56	17	10	21	3	0	0	0	22	0	2	0	0	0
HQ120899.1.1462	42	57	114	111	85	118	115	1	2	4	50	18	7	11	21	0
OTU_dn_70	119	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
GU207878.1.1524	894	3	5	1	1	2	1	0	4	2	3	5	6	1	10	0
KX507664.1.1448	32	32	33	43	31	43	36	0	0	0	0	0	0	0	0	0
OTU_dn_798	3	3	2	0	1	3	5	0	0	0	0	0	0	0	0	0
JX948684.1.1493	127	78	124	170	243	75	84	1	45	54	130	101	72	84	61	0
KJ192026.1.1529	15	9	10	7	9	6	8	0	0	0	0	0	0	0	0	0
KF781557.1.1509	1063	7	10	6	9	9	2	0	14	11	40	20	33	0	17	0
HQ703837.1.1467	53	79	144	128	63	97	67	1	8	3	25	3	13	25	80	0
OTU_dn_1090	4	2	1	5	1	0	0	0	0	0	0	0	0	1	0	0
GU138662.20427.21937	133	100	370	586	343	516	325	1	0	21	42	26	112	90	35	0
ABIZ01000001.5019483.5021021	583	0	0	33	0	0	1	0	0	2	0	6	1	0	13	0
KC541531.1.1531	725	0	2	8	3	4	4	0	0	0	21	44	22	18	42	0
GU983314.1.1407	209	187	224	236	176	144	139	0	9	0	0	1	1	3	1	0
EF492909.1.1461	38	55	90	84	46	82	29	0	0	0	0	3	0	0	2	0
EF032745.1.1463	115	121	124	173	80	85	86	0	135	23	28	49	38	35	20	0
HQ120981.1.1456	35	25	21	43	30	25	23	3	54	76	108	208	144	110	222	0
FR687465.1.1497	30	27	38	37	63	30	22	0	0	0	0	0	0	0	0	0
JQ427395.1.1479	3	5	1	4	5	2	0	0	7	4	8	1	2	9	2	0
OTU_dn_27	15	11	35	37	14	51	50	0	0	0	0	0	0	0	0	0
OTU_dn_18	14	37	34	15	46	48	46	0	0	0	0	0	0	0	0	0
OTU_dn_1626	2	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0
HQ119089.1.1527	9	10	27	22	4	7	10	0	0	0	0	0	0	0	0	0
KR088549.1.1526	422	376	488	680	487	377	348	25	369	451	1110	1260	1117	743	983	1
CCYL01000016.185554.187087	299	170	212	355	350	132	166	2	44	27	76	77	54	46	37	0
EU979025.1.1469	3	5	4	8	4	0	2	2	8	18	18	41	46	29	27	0
ABRA01002618.192.1704	286	48	127	108	147	110	96	0	19	30	33	49	71	39	50	0
KF958868.1.1493	4	0	0	0	0	0	0	0	3	14	12	16	8	12	15	0
KC554448.1.1523	22	36	37	60	69	38	38	0	4	0	4	14	20	7	25	0
KC683105.1.1483	76	38	66	59	20	32	35	4	278	169	167	168	90	102	66	2
KJ192088.1.1494	47	126	171	116	76	185	66	0	97	18	25	21	22	36	51	0
HM069053.1.1447	11	5	8	4	6	4	5	0	0	0	0	1	0	0	0	0
GQ488004.1.1500	190	221	230	292	139	213	147	6	356	113	162	182	191	220	176	0
KJ192079.1.1494	25	19	29	39	9	22	11	0	0	0	0	0	1	0	0	0
DQ297967.1.1515	33	26	17	23	5	4	4	0	41	15	13	20	18	22	6	0
HQ674819.1.1469	429	649	933	1219	784	1084	1050	8	262	96	190	284	265	156	320	3
KR560035.1.1435	5	5	7	7	6	2	3	0	0	0	0	0	0	0	0	0
JX133575.1.1516	10	17	11	22	15	11	6	0	2	0	0	0	0	0	0	0
AY289399.1.1464	16	10	11	20	8	7	5	0	0	0	0	0	0	0	0	0
DQ660865.1.1325	8	7	9	18	17	13	7	0	0	0	0	0	0	0	0	0
KX239137.1.1326	29	13	32	35	14	15	20	0	0	0	0	0	0	0	0	0
KY711182.1.1549	2	0	0	5	0	2	1	0	0	0	0	0	0	0	0	0
HQ397524.1.1516	135	96	76	23	23	27	11	8	302	255	533	429	215	183	310	0
EF516707.1.1254	4	6	15	20	11	4	11	0	0	0	0	0	0	0	0	0
OTU_dn_44	45	0	5	10	44	4	4	0	0	11	3	15	17	6	6	0
GQ264200.1.1471	500	70	107	84	79	94	74	4	45	72	125	109	101	121	100	0
EU335320.1.1482	27	37	84	107	77	51	58	0	0	0	0	0	0	0	0	0
FPLS01044933.16.1482	29	31	39	46	37	24	32	0	2	0	0	0	0	0	0	0
JX501980.1.1507	5	8	31	44	22	34	28	0	0	0	0	0	0	0	0	0
KX753041.1.1499	26	40	42	36	27	30	35	0	20	3	3	3	13	4	1	0
EF516053.1.1454	29	42	64	49	31	77	74	0	17	1	0	5	4	0	0	0
KX298207.1.1443	35	2	1	5	1	3	0	0	3	0	5	7	2	0	0	0
AF465644.1.1453	16	15	11	23	8	10	2	0	0	0	0	0	0	0	0	0
KJ410541.1.1362	20	21	26	30	17	14	11	0	0	0	0	0	0	0	0	0
FM209307.1.1493	12	22	30	30	42	37	21	0	6	5	7	10	3	12	17	0
KP000031.1.1525	6	5	3	8	10	3	2	0	0	0	0	0	0	0	0	0
EF019369.1.1353	29	34	35	43	26	12	14	0	11	8	5	17	1	8	3	0
AM162434.1.1451	31	61	40	69	40	54	27	0	0	0	0	0	0	1	0	0
JF145730.1.1376	3	7	11	8	3	4	5	0	0	0	0	3	0	0	0	0
JQ318943.1.1486	24	28	41	66	46	59	49	0	0	1	0	0	0	3	8	0
GQ871378.1.912	6	4	2	4	1	0	4	0	0	0	0	0	0	0	0	0
EU881115.1.1490	1	0	1	0	1	1	0	0	16	14	38	24	8	18	9	0
EF019530.1.1410	2	4	0	5	1	1	0	0	2	0	0	0	0	1	0	0
AF041446.1.1481	354	387	536	524	361	407	278	11	366	203	379	360	291	304	168	1
OTU_dn_173	9	4	11	12	14	8	11	0	0	0	0	0	0	0	0	0
AM936702.1.1339	14	20	12	17	6	15	3	0	2	1	1	2	6	4	2	0
CP015027.1029839.1031395	19	14	15	24	25	9	7	0	1	2	13	6	10	7	3	0
OTU_dn_515	4	2	2	7	5	0	7	0	0	0	0	0	0	0	0	0
OTU_dn_322	3	3	2	3	9	16	2	0	0	1	1	0	1	0	0	0
FM865684.1.1487	21	6	3	2	0	2	0	0	1	0	1	1	1	0	0	0
FJ468479.1.1375	242	197	237	307	327	142	86	5	117	88	105	129	121	62	53	0
KF712567.1.1461	21	9	27	26	19	25	28	0	0	0	0	0	0	0	0	0
EU335341.1.1577	39	50	43	46	7	30	9	0	18	0	0	1	0	0	0	0
HQ597246.1.1506	56	63	78	87	30	48	59	0	52	6	6	15	9	24	24	0
OTU_dn_2636	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
EU881172.1.1524	89	141	134	136	54	82	82	13	583	520	495	395	328	387	324	0
M11657.1.1527	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y07576.1.1528	140	241	248	208	141	141	115	1	110	39	54	31	35	34	16	0
FPLS01006697.30.1498	329	319	465	501	380	445	339	1	45	10	15	10	17	25	20	0
JXAL01000015.3677.5237	203	1	2	6	17	2	7	0	1	0	6	0	0	0	4	0
HQ674818.1.1463	83	154	202	180	178	176	231	0	12	3	1	1	3	1	21	0
FR744939.1.1448	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
JN867352.1.1455	28	1	6	11	1	6	10	0	0	0	1	0	0	0	0	0
OTU_dn_469	2	2	2	3	3	5	5	0	0	0	5	0	0	0	2	0
AQWM01000073.295.1735	13	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0
OTU_dn_186	8	14	11	12	8	2	6	0	2	0	0	0	0	0	0	0
KC554661.1.1526	70	73	76	110	93	84	66	9	221	120	260	297	244	170	219	0
JQ427765.1.1471	7	4	5	7	14	6	3	0	0	0	0	0	0	0	0	0
FPLS01009239.16.1559	29	17	18	21	5	36	35	0	16	11	25	31	21	13	45	0
GU260705.11754.13299	8	16	55	42	53	88	67	0	0	0	0	0	0	0	0	0
FJ004646.1.1358	43	27	23	26	2	20	9	0	60	2	1	15	6	4	10	0
AB672259.1.1486	70	54	80	120	38	79	49	0	0	0	0	0	0	0	0	0
FPLP01008484.1.1451	79	32	85	98	74	87	81	0	6	10	7	17	9	3	15	0
KF956567.1.1490	26	19	24	50	32	33	23	0	16	0	8	14	12	30	61	0
OTU_dn_269	4	7	12	8	6	3	8	0	0	0	0	0	0	0	0	0
FPLS01002899.10.1505	1	6	3	2	1	0	2	0	4	0	0	2	4	0	0	0
AF498650.1.1517	7	8	14	7	9	9	11	1	9	5	19	27	7	8	28	0
EF018564.1.1329	23	4	2	5	4	2	1	0	0	0	0	0	0	0	0	0
OTU_dn_3	16	24	73	72	43	65	86	0	0	0	0	0	1	0	1	0
HL098929.1.1495	34	74	54	103	27	81	74	0	32	0	0	11	0	4	7	0
KJ588870.1.1513	41	27	36	61	23	35	20	0	20	5	9	17	12	16	12	0
BAYE01000050.208.1722	20	23	47	82	37	47	25	0	3	0	1	1	0	8	0	0
HQ397091.1.1484	30	3	3	7	32	13	5	1	2	1	4	23	12	26	40	0
ABSQ01001477.375.1869	13	19	12	17	3	10	11	0	7	2	0	6	4	1	0	0
KX839261.40562.42044	35	18	45	26	20	13	13	0	9	0	0	12	5	12	41	0
OTU_dn_512	8	3	4	6	5	1	0	0	0	0	0	0	0	0	0	0
AB821116.1.1494	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AM935274.1.1360	8	1	7	6	15	2	10	1	5	4	10	10	0	24	3	0
GU444072.1.1508	31	0	1	20	0	6	4	0	0	0	0	3	9	9	3	0
AF466821.1.1533	2	4	12	14	12	9	4	0	0	2	0	5	0	2	0	0
FPLS01057993.10.1476	3	1	4	1	1	3	3	0	3	3	0	0	1	0	0	0
HM062221.1.1423	28	20	25	22	23	22	8	0	0	0	0	0	0	0	0	0
AQZX01000031.984447.985943	1	7	2	10	7	6	19	0	1	1	1	11	3	4	20	0
AY253866.1.1517	17	13	19	21	13	12	15	0	17	10	9	15	19	8	6	0
FPLS01005041.10.1541	23	37	15	25	18	8	30	0	40	6	14	22	18	0	7	0
KC172303.1.1454	62	58	70	66	62	38	51	2	89	67	98	102	71	143	87	0
EF018681.1.1385	6	19	23	20	13	18	19	0	4	0	0	0	0	0	0	0
OTU_dn_1119	5	1	4	1	0	2	0	0	0	0	0	0	0	0	0	0
OTU_dn_101	3	3	28	11	9	21	23	0	0	0	0	0	0	0	0	0
OTU_dn_643	3	0	1	2	0	0	0	0	0	1	2	2	0	0	11	0
OTU_dn_583	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KX752912.1.1234	31	34	41	34	46	31	16	0	1	0	0	0	0	0	0	0
OTU_dn_1764	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPLL01003424.15.1517	14	11	32	28	8	37	34	1	43	25	20	20	24	6	23	0
KX753046.1.1451	6	6	13	12	4	5	6	0	4	10	8	15	4	6	1	0
DQ404701.1.1547	56	86	125	117	70	144	150	0	0	0	0	0	0	0	0	0
LNRR01000005.305686.307182	66	2	3	1	5	4	4	0	3	0	11	6	25	14	11	0
OTU_dn_724	4	1	2	7	1	3	1	0	0	0	0	0	0	0	0	0
OTU_dn_2734	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
EU786148.1.1506	74	72	85	87	53	62	69	1	21	22	34	14	22	14	2	0
FPLS01054308.18.1559	13	7	7	17	0	3	4	4	86	121	152	125	119	119	104	0
HQ598756.1.1469	52	59	48	50	13	10	10	0	1	0	0	0	5	0	0	0
FQVU01000003.760086.761610	38	33	33	52	38	34	28	0	0	0	0	0	0	0	0	0
FPLS01048191.22.1522	12	8	27	15	0	19	15	2	82	119	189	167	107	197	247	0
JX133589.1.1511	43	63	80	100	64	52	46	0	0	0	0	1	0	0	0	0
AY015428.1.1524	11	4	49	23	31	18	19	0	0	0	0	0	0	0	1	0
OTU_dn_210	5	9	6	14	13	3	6	0	0	0	0	0	0	0	0	0
LZOD01000018.12666.14597	155	86	143	219	262	91	130	1	17	18	54	44	47	30	54	0
LMJB01000001.825719.827238	28	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0
KC554430.1.1535	59	63	43	74	59	53	54	2	67	79	96	68	76	47	54	1
KM200544.1.1501	39	72	158	255	111	154	102	0	0	1	0	0	0	0	0	0
OTU_dn_2010	4	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
AY769994.1.1516	53	51	59	78	61	31	48	0	13	20	68	38	38	37	37	0
OTU_dn_323	11	14	10	1	2	0	4	0	0	0	0	0	0	0	0	0
OTU_dn_39	22	25	20	33	21	28	11	0	8	1	2	5	5	0	1	0
OTU_dn_11	25	38	48	63	27	41	38	0	0	0	0	0	0	0	0	0
CP003017.4738540.4740093	458	272	412	644	894	287	297	5	75	101	237	340	215	271	311	0
FPLL01007565.16.1550	10	4	11	13	2	1	0	0	4	1	7	3	7	9	0	0
HM780303.1.1463	49	58	62	50	40	35	17	0	9	0	0	0	9	1	0	0
OTU_dn_656	19	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
FPLS01034915.11.1477	31	0	2	4	11	2	2	0	3	0	0	0	0	0	0	0
OTU_dn_34	8	21	44	28	16	35	42	0	0	0	0	0	0	0	0	0
OTU_dn_1145	2	0	1	5	0	2	2	0	0	0	0	0	0	0	0	0
AB487443.1.1354	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_1896	1	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0
EU133579.1.1340	113	114	143	198	178	102	107	1	18	6	1	5	17	4	9	0
FJ822636.1.1392	41	41	29	61	22	14	17	1	4	9	1	12	5	11	0	0
FMTV01000021.419.1943	10	5	30	81	36	28	11	0	0	1	0	0	0	0	0	0
JF833511.1.1534	31	29	34	36	21	31	6	0	1	0	0	2	0	0	0	0
KF956659.1.1533	48	32	43	60	73	23	21	1	21	29	41	46	47	22	45	0
OTU_dn_25	9	14	29	32	62	50	30	0	0	0	0	0	0	0	0	0
OTU_dn_78	7	6	24	16	11	32	21	0	0	0	0	0	0	0	0	0
KC554257.1.1541	6	2	4	7	4	4	2	0	0	0	2	0	0	0	0	0
JX133357.1.1505	30	37	40	34	32	31	21	0	0	0	0	0	0	0	0	0
