Soil	Rep	size	weight	Site
MRC	a	2	62.6	M
MRC	a	1	43.3	M
MRC	a	0.5	40.4	M
MRC	a	0.25	26	M
MRC	a	0.18	40.7	M
MRC	a	0.056	30.3	M
SVERC	a	2	108	S
SVERC	a	1	25	S
SVERC	a	0.5	32.2	S
SVERC	a	0.25	14.3	S
SVERC	a	0.18	12.7	S
SVERC	a	0.056	10.2	S
MRC	b	2	81.3	M
MRC	b	1	49.6	M
MRC	b	0.5	29.2	M
MRC	b	0.25	19.4	M
MRC	b	0.18	17.3	M
MRC	b	0.056	18	M
SVERC	b	2	132.7	S
SVERC	b	1	44	S
SVERC	b	0.5	22.1	S
SVERC	b	0.25	18	S
SVERC	b	0.18	19.6	S
SVERC	b	0.056	10.2	S
MRC	c	2	96.5	M
MRC	c	1	51.5	M
MRC	c	0.5	22.1	M
MRC	c	0.25	13.4	M
MRC	c	0.18	13.8	M
MRC	c	0.056	12.9	M
SVERC	c	2	116.1	S
SVERC	c	1	53.2	S
SVERC	c	0.5	26.3	S
SVERC	c	0.25	15.7	S
SVERC	c	0.18	10.8	S
SVERC	c	0.056	12.3	S
